sample_number,site,element,value,group
101,Forest,Ag,0.06,geochem
101,Forest,Al,0.81,geochem
101,Forest,As,4.9,geochem
101,Forest,B,20,geochem
101,Forest,Ba,140,geochem
101,Forest,Be,0.53,geochem
101,Forest,Bi,0.21,geochem
101,Forest,Ca,0.87,geochem
101,Forest,Cd,0.44,geochem
101,Forest,Ce,29.2,geochem
101,Forest,Co,6.6,geochem
101,Forest,Cr,15,geochem
101,Forest,Cs,0.62,geochem
101,Forest,Cu,10.5,geochem
101,Forest,Fe,1.21,geochem
101,Forest,Ga,2.48,geochem
101,Forest,Hf,0.11,geochem
101,Forest,Hg,0.07,geochem
101,Forest,In,0.019,geochem
101,Forest,K,0.23,geochem
101,Forest,La,13.8,geochem
101,Forest,Li,8.6,geochem
101,Forest,Mg,0.28,geochem
101,Forest,Mn,843,geochem
101,Forest,Mo,0.62,geochem
101,Forest,Nb,0.38,geochem
101,Forest,Ni,13.1,geochem
101,Forest,P,630,geochem
101,Forest,Pb,11.8,geochem
101,Forest,Rb,17.6,geochem
101,Forest,S,0.04,geochem
101,Forest,Sb,0.26,geochem
101,Forest,Sc,1.7,geochem
101,Forest,Se,0.9,geochem
101,Forest,Sn,0.5,geochem
101,Forest,Sr,30.1,geochem
101,Forest,Te,0.04,geochem
101,Forest,Th,1.6,geochem
101,Forest,Tl,0.15,geochem
101,Forest,U,0.92,geochem
101,Forest,V,44,geochem
101,Forest,Y,6.82,geochem
101,Forest,Zn,95,geochem
101,Forest,Zr,3.8,geochem
102,Forest,Ag,0.07,geochem
102,Forest,Al,0.65,geochem
102,Forest,As,4.5,geochem
102,Forest,B,20,geochem
102,Forest,Ba,150,geochem
102,Forest,Be,0.45,geochem
102,Forest,Bi,0.2,geochem
102,Forest,Ca,1.26,geochem
102,Forest,Cd,1.23,geochem
102,Forest,Ce,26.7,geochem
102,Forest,Co,6.1,geochem
102,Forest,Cr,12,geochem
102,Forest,Cs,0.43,geochem
102,Forest,Cu,11.3,geochem
102,Forest,Fe,1.07,geochem
102,Forest,Ga,2.16,geochem
102,Forest,Hf,0.11,geochem
102,Forest,Hg,0.1,geochem
102,Forest,In,0.017,geochem
102,Forest,K,0.18,geochem
102,Forest,La,13.1,geochem
102,Forest,Li,6.5,geochem
102,Forest,Mg,0.26,geochem
102,Forest,Mn,996,geochem
102,Forest,Mo,0.78,geochem
102,Forest,Nb,0.4,geochem
102,Forest,Ni,15.2,geochem
102,Forest,P,860,geochem
102,Forest,Pb,15.9,geochem
102,Forest,Rb,14,geochem
102,Forest,S,0.07,geochem
102,Forest,Sb,0.31,geochem
102,Forest,Sc,1.4,geochem
102,Forest,Se,1.3,geochem
102,Forest,Sn,0.4,geochem
102,Forest,Sr,30.6,geochem
102,Forest,Te,0.05,geochem
102,Forest,Th,1.2,geochem
102,Forest,Tl,0.14,geochem
102,Forest,U,0.96,geochem
102,Forest,V,32,geochem
102,Forest,Y,7.24,geochem
102,Forest,Zn,170,geochem
102,Forest,Zr,4.2,geochem
103,Forest,Ag,0.08,geochem
103,Forest,Al,0.7,geochem
103,Forest,As,3.9,geochem
103,Forest,B,20,geochem
103,Forest,Ba,150,geochem
103,Forest,Be,0.48,geochem
103,Forest,Bi,0.19,geochem
103,Forest,Ca,1.28,geochem
103,Forest,Cd,0.49,geochem
103,Forest,Ce,29.1,geochem
103,Forest,Co,6.7,geochem
103,Forest,Cr,14,geochem
103,Forest,Cs,0.46,geochem
103,Forest,Cu,14.2,geochem
103,Forest,Fe,1.2,geochem
103,Forest,Ga,2.17,geochem
103,Forest,Hf,0.11,geochem
103,Forest,Hg,0.07,geochem
103,Forest,In,0.017,geochem
103,Forest,K,0.2,geochem
103,Forest,La,14.9,geochem
103,Forest,Li,6.1,geochem
103,Forest,Mg,0.38,geochem
103,Forest,Mn,843,geochem
103,Forest,Mo,0.67,geochem
103,Forest,Nb,0.39,geochem
103,Forest,Ni,19.5,geochem
103,Forest,P,800,geochem
103,Forest,Pb,11.5,geochem
103,Forest,Rb,13.7,geochem
103,Forest,S,0.05,geochem
103,Forest,Sb,0.29,geochem
103,Forest,Sc,1.6,geochem
103,Forest,Se,1.3,geochem
103,Forest,Sn,0.4,geochem
103,Forest,Sr,28.1,geochem
103,Forest,Te,0.03,geochem
103,Forest,Th,1.6,geochem
103,Forest,Tl,0.15,geochem
103,Forest,U,1.07,geochem
103,Forest,V,36,geochem
103,Forest,Y,9.1,geochem
103,Forest,Zn,95,geochem
103,Forest,Zr,4,geochem
104,Forest,Ag,0.07,geochem
104,Forest,Al,0.66,geochem
104,Forest,As,4.4,geochem
104,Forest,B,20,geochem
104,Forest,Ba,130,geochem
104,Forest,Be,0.43,geochem
104,Forest,Bi,0.19,geochem
104,Forest,Ca,1.18,geochem
104,Forest,Cd,0.55,geochem
104,Forest,Ce,26.4,geochem
104,Forest,Co,5.7,geochem
104,Forest,Cr,13,geochem
104,Forest,Cs,0.46,geochem
104,Forest,Cu,11.2,geochem
104,Forest,Fe,1.1,geochem
104,Forest,Ga,2.13,geochem
104,Forest,Hf,0.11,geochem
104,Forest,Hg,0.07,geochem
104,Forest,In,0.016,geochem
104,Forest,K,0.19,geochem
104,Forest,La,13.2,geochem
104,Forest,Li,6.5,geochem
104,Forest,Mg,0.27,geochem
104,Forest,Mn,717,geochem
104,Forest,Mo,0.65,geochem
104,Forest,Nb,0.41,geochem
104,Forest,Ni,14.2,geochem
104,Forest,P,720,geochem
104,Forest,Pb,12.7,geochem
104,Forest,Rb,13.1,geochem
104,Forest,S,0.06,geochem
104,Forest,Sb,0.28,geochem
104,Forest,Sc,1.4,geochem
104,Forest,Se,1,geochem
104,Forest,Sn,0.4,geochem
104,Forest,Sr,27.8,geochem
104,Forest,Te,0.03,geochem
104,Forest,Th,1.3,geochem
104,Forest,Tl,0.15,geochem
104,Forest,U,0.95,geochem
104,Forest,V,34,geochem
104,Forest,Y,7.63,geochem
104,Forest,Zn,137,geochem
104,Forest,Zr,4.4,geochem
105,Forest,Ag,0.13,geochem
105,Forest,Al,0.78,geochem
105,Forest,As,3.6,geochem
105,Forest,B,20,geochem
105,Forest,Ba,200,geochem
105,Forest,Be,0.51,geochem
105,Forest,Bi,0.2,geochem
105,Forest,Ca,1.31,geochem
105,Forest,Cd,0.58,geochem
105,Forest,Ce,26.2,geochem
105,Forest,Co,5.9,geochem
105,Forest,Cr,14,geochem
105,Forest,Cs,0.4,geochem
105,Forest,Cu,12.5,geochem
105,Forest,Fe,1.17,geochem
105,Forest,Ga,2.37,geochem
105,Forest,Hf,0.13,geochem
105,Forest,Hg,0.08,geochem
105,Forest,In,0.018,geochem
105,Forest,K,0.22,geochem
105,Forest,La,13.4,geochem
105,Forest,Li,5.6,geochem
105,Forest,Mg,0.27,geochem
105,Forest,Mn,1100,geochem
105,Forest,Mo,0.73,geochem
105,Forest,Nb,0.41,geochem
105,Forest,Ni,16.2,geochem
105,Forest,P,860,geochem
105,Forest,Pb,14,geochem
105,Forest,Rb,13.6,geochem
105,Forest,S,0.06,geochem
105,Forest,Sb,0.2,geochem
105,Forest,Sc,1.5,geochem
105,Forest,Se,0.9,geochem
105,Forest,Sn,0.5,geochem
105,Forest,Sr,28,geochem
105,Forest,Te,0.03,geochem
105,Forest,Th,1.6,geochem
105,Forest,Tl,0.13,geochem
105,Forest,U,0.89,geochem
105,Forest,V,36,geochem
105,Forest,Y,7.2,geochem
105,Forest,Zn,194,geochem
105,Forest,Zr,4.3,geochem
106,Forest,Ag,0.07,geochem
